dcontributor,dsubjecs,dtitle,Year
林羲年,医疗;日本;林羲年;盛宣怀;药品,盛宣怀再致林羲年函,1910-1914
汉冶萍公司董事;经理,商务;张赞宸;汉冶萍公司;码头;财务;邱瑞麟,盛宣怀致汉冶萍公司董事、经理函,1910-1914
王錫绶,严义彬;制造;南洋勸业会;张人骏;汉冶萍公司;虞洽卿,盛宣怀致王錫绶函（1号）,1910-1914
王錫绶,人事;合同;李维格;汉阳铁厂;管理;美国;薪俸;西泽公雄,盛宣怀致王錫绶函（2号）,1910-1914
王錫绶,人事;合同;季厚堃;汉冶萍公司;矿产;美国;运输,盛宣怀致王錫绶函（3号）,1910-1914
王錫绶,勘察;南洋勸业会;吴作鏌;外币;大冶铁矿;汉冶萍公司;萍乡煤矿;运输,盛宣怀致王錫绶函（4号）,1910-1914
王錫绶,大冶铁矿;季厚堃;汉冶萍公司;清册;矿产;薪俸;运输,盛宣怀致王錫绶函（5号）,1910-1914
王錫绶,博德;徐增祚;李维格;汉阳铁厂;薪俸;设备;财务;运输,盛宣怀致王錫绶函（6号）,1910-1914
王錫绶,人事;信函;博德;合同;日本制铁所;李维格;汉冶萍公司;矿产;章程;美国;请假;采掘,盛宣怀致王錫绶函（7号）,1910-1914
杨学沂,农商部;孙武;张之洞;汉冶萍公司;汤化龙;湖北;税务;饶汉祥,盛宣怀致杨学沂函,1910-1914
魏景熊,公务;汉冶萍公司;财务,盛宣怀致魏景熊函,1910-1914
包希蔺;杨学沂,商务;汉冶萍公司;清单;王勳;财务;魏景熊,盛宣怀致杨学沂、包希蔺函,1910-1914
麥信坚,叶景葵;张之洞;日本;汉冶萍公司;股票;铁;铜轨;销售,盛宣怀致麥信坚函,1910-1914
杨士琦,汉冶萍公司;物价;矿务;股東;钢;钢轨;铁;销售,盛宣怀致杨士琦函,1910-1914
梁敦彦,叶景葵;日本;曾述棨;汉冶萍公司;粤汉铁路;股東;钢轨;铁;销售;陇海铁路,盛宣怀致梁敦彦函,1910-1914
杨学沂,汉冶萍公司;矿务;矿图,盛宣怀致杨学沂函,1910-1914
汉冶萍公司董事会,合同;汉冶萍公司;矿务;農工商部,盛宣怀致汉冶萍公司董事会函,1910-1914
李维格;杨学沂;林志熙,汉冶萍公司;矿务;财务,盛宣怀致李维格、林志熙、杨学沂函,1910-1914
盛寅怀,冯嘉锡;冯应熊;利息;卢洪昶;土地买卖;地契;汉冶萍公司;萧成濬;销售,盛宣怀致盛寅怀函,1910-1914
杨学沂,丁立中;孙武;张之洞;捐税;汉冶萍公司;汤化龙;股票;農商部;饶汉祥,盛宣怀致杨学沂函,1910-1914
但焘,上海图书馆;律师;汉冶萍公司;轮船招商局;鏐荃孙,盛宣怀致但焘函,1910-1914
于焌年,冯嘉锡;屠鹤清;横滨正金银行;汇兑;经费;萍鄉煤矿;财务;长沙汇票公司,[盛宣怀]复于焌年函,1910-1914
杨学沂,汉冶萍公司;湖北;黄小宋,盛宣怀致杨学沂函,1910-1914
李经方;王存善,人事;官商合办;日本;汉冶萍公司;矿务;袁世凯,盛宣怀致王存善、李经方函,1910-1914
郑观应,林志熙;股東;股票;赖伦,盛宣怀致郑观应函,1910-1914
高木陆郎,人事;横滨正金银行;汉冶萍公司;薪俸;高桥■三郎,盛宣怀致高木陆郎函,1910-1914
于焌年;王勳,中外关系;公使;合同;国务院;地契;外务部;大冶铁矿;日本;汉冶萍公司;王存善;矿务,盛宣怀致王勳、于焌年函,1910-1914
左孝同,招商;汉冶萍公司;股票,盛宣怀复左孝同函,1910-1914
华同揆,汉冶萍公司;汉阳铁厂;煤;船只;萍鄉煤矿;运输,盛宣怀致华同揆函,1910-1914
王光,东方地产公司;哈华托;地契;汉冶萍公司;美国;英国;长利洋行;领事;香港,盛宣怀致王光函,1910-1914
李维格, 国有问题;合同;吴健;大岛道太郎;官商合办;汉冶萍公司;财务;钢;铁,盛宣怀致李维格函,1910-1914
孙中山,借贷;儿玉谦次;抵押;横滨正金银行;财产;赵兴昌,盛宣怀复孙中山函,1910-1914
李维格,施亦爵;汉冶萍公司;股东;股东会;财务;金忠讚;顾润章;预算,盛宣怀致李维格函,1910-1914
纪光汉,人事;季厚堃;疾病;矿务;股东,盛宣怀复纪光汉函,1910-1914
陶湘,又新公司;纺织,盛宣怀致陶湘函,1910-1914
彭脱,又新公司;机器;满怯斯脱;英国;采办;雷德门,盛宣怀致彭脱函,1910-1914
李灼华;杨允升,人事;冯煦;安徽;水灾;江苏;经费;赈济,盛宣怀复李灼华、杨允升函,1910-1914
李灼华;杨允升,人事;冯煦;安徽;水灾;江苏;赈济,盛宣怀复李灼华、杨允升函,1910-1914
李昭炜,人事;冯煦;安徽;水灾;赈济,盛宣怀复安徽会馆李昭炜等函,1910-1914
文明书局,上海文明书局印刷所;书局;利息,盛宣怀致文明书局函,1910-1914
潘纪慕,李维格;汉阳铁厂;矿务,盛宣怀致潘纪慕函,1910-1914
刘炳照,义庄;吴尚甫;宗祠;财务;顾润章,盛宣怀致刘炳照函,1910-1914
邵志潼,工程;江西;王云路;章程;经费;轮船招商局,盛宣怀致邵志潼函,1910-1914
[罗榘];邵志潼,厘金局;周滋明;安化县;岳州府;新田县;清州直隶州;湖南;醴陵县;铁路局,盛宣怀致[罗榘]、邵志潼函,1910-1914
傅苕生,九江府;南昌府;盛渤颐;轮船;青岛;顾润章,盛宣怀致傅苕生函,1910-1914
罗榘,上海图书馆;图书;杭州府,盛宣怀致罗榘函,1910-1914
哈同,上海普益工艺传习所;公务;社交,盛宣怀致哈同函,1910-1914
唐宗愈,刘朴;建筑;房屋;物价,盛宣怀致唐宗愈函,1910-1914
钱绍桢,图书;图书馆;湖北;瑞澂,盛宣怀致钱绍桢函,1910-1914
钱绍桢,图书;图书馆;湖北,盛宣怀致钱绍桢函,1910-1914
董邦榦,京师;京师法政学堂;学堂;教育,盛宣怀致董邦榦函,1910-1914
吕海寰,日本;日本赤十字社;章程,盛宣怀致吕海寰函,1910-1914
唐文治,上海工业专门学校;南洋公学;教育,盛宣怀致唐文治函,1910-1914
钦其宝,图书馆;工程;电灯;苏州府;顾润章,盛宣怀致钦其宝函,1910-1914
费邦屏等,上海图书馆;人事;图书,盛宣怀致费邦屏等函,1910-1914
邵志潼,上海图书馆;图书;工程;江西;王云路;缪荃孙;轮船招商局;钦其宝,盛宣怀致邵志潼函,1910-1914
唐文治,上海工业专门学校;公司;工程;李维格;铁路,盛宣怀致唐文治函,1910-1914
李维格;王勋,万特克;上海工业专门学校;唐文治;工程;汉阳铁厂;美国;铁路,盛宣怀致李维格、王勋函,1910-1914
魏勖,日本;财产;隐语,盛宣怀致魏勖函,1910-1914
廉泉,书局;利息;文明书局;股份,盛宣怀致廉泉函,1910-1914
麦信坚,施禄生;李载之;汇兑;董吉人;轮船招商局,盛宣怀致麦信坚函,1910-1914
郑官应,广仁堂;捐赈;股票;采办,[盛宣怀]致郑官应函,1910-1914
农工商部,农工商部;度支部;捐赈;经费;赈济,盛宣怀致农工商部函,1910-1914
外务部,冯熙;奏折,盛宣怀致外务部函,1910-1914
张人骏,奖赏;徐家树;扬州府;捐赈;水灾;沙洲;镇江府,盛宣怀复张人骏函,1910-1914
张人骏,奖赏;徐家树;扬州府;捐赈;水灾;镇江府,盛宣怀复张人骏函,1910-1914
姚纪衡,二次革命;战争;江宁府;灾害;赈济;金陵赈恤会,盛宣怀复姚纪衡函,1910-1914
丁宝铨,江宁府;赈济;魏家骅,盛宣怀致丁宝铨函,1910-1914
章达,冯煦;广仁堂;江宁府;赈济;魏家骅,盛宣怀复章达函,1910-1914
汉冶萍公司董事;经理,丁立中;利息;工厂;李锺蔚;汉冶萍公司;矿务;股票;铁,盛宣怀致汉冶萍公司董事、经理函,1910-1914
陆？,丁立中;工厂;李锺蔚;汉冶萍公司;矿务;股票;行程;铁,盛宣怀致陆？函,1910-1914
汉冶萍公司董事;经理,丁立中;工厂;文牍处理;李锺蔚;汉冶萍公司;矿务;铁,盛宣怀致汉冶萍公司董事、经理函,1910-1914
陆？,工厂;文牍处理;汉冶萍公司;矿务;铁,盛宣怀致陆？函,1910-1914
韩国钧,公济典;典当;本金;股份,盛宣怀致韩国钧函,1910-1914
大谷,房屋;日本;游历;租借,盛宣怀致大谷函,1910-1914
俞书祥,上海;人事;医疗;南翔育婴堂;唐文治;土地;宝山县;广仁堂;庄秉恒;慈善事业;汉冶萍公司;漕务;股票;财务;轮船招商局;钦其宝,盛宣怀复俞书祥函,1910-1914
俞书祥,上海;人事;又新公司;广仁堂;慈善事业;汉冶萍公司;盛伯蕃;经费;股票;财务;顾润章,盛宣怀复俞书祥函,1910-1914
孙宝琦,三新公司;上海;关税;海关;英国;领事,盛宣怀致孙宝琦函,1910-1914
王光,地基;扬子机器制造公司;汉口;租赁,盛宣怀致王光函,1910-1914
石井徹,澁泽荣一;疾病;近藤,盛宣怀致石井徹函,1910-1914
澁泽荣一,风俗,盛宣怀致澁泽荣一函,1910-1914
陆大坊,上海;蒙古;蒙古实业公司;阿穆尔灵圭,盛宣怀致陆大坊函,1910-1914
杨荫桐,上海;长沙,盛宣怀致杨荫桐函,1910-1914
？,上海三星纸烟有限公司;公兴纸烟公司;刘树森;秦煇祖;股票;英美烟公司,盛宣怀致？函（残件）,1910-1914
卢洪昶,余观海;借贷;出口;制造;合成公司;土地买卖;汉冶萍公司;码头,盛宣怀致卢洪昶函,1910-1914
卢洪昶,工程;汉冶萍公司;洋醴大桥;潘毓初;王勲;薪俸;轮船;运输,盛宣怀致卢洪昶函,1910-1914
王存善,合同;汉冶萍公司;煤;运输,盛宣怀致王存善函,1910-1914
卢洪昶,上海求新厂;汉冶萍公司;洙岳拖驳;煤;王勲;轮船招商局;销售;長岳铁路,盛宣怀致卢洪昶函,1910-1914
卢洪昶,公平轮;宝丰公司;汉冶萍公司;煤;物价;第一次世界大战;运输;销售,盛宣怀致卢洪昶函,1910-1914
华同揆,商务;汉冶萍公司;矿产,盛宣怀致华同揆函,1910-1914
卢洪昶,交通银行;契约;汉冶萍公司;税务,盛宣怀致卢洪昶函,1910-1914
谢纶辉,中国通商银行;卢洪昶;汉冶萍公司;财务,盛宣怀致谢纶辉函,1910-1914
卢洪昶,上海求新厂;制造;汉冶萍公司;船只;轮船招商局,盛宣怀致卢洪昶函,1910-1914
卢洪昶,人事;汉冶萍公司;湖北德安电局;盛滋颐;管理;船只;荐举,盛宣怀致卢洪昶函,1910-1914
季厚堃,汉冶萍公司;清单;矿务;管理;黄锡赓,盛宣怀致季厚堃函,1910-1914
黄锡赓,卢成章;程中石;萍乡煤矿;薪俸,盛宣怀致黄锡赓函,1910-1914
黄锡赓,林木采伐;汉冶萍公司;火灾;财务,盛宣怀致黄锡赓函,1910-1914
黄锡赓,刘康遐;尹介眉;屠鹤清;整顿;汉冶萍公司;火灾;矿务;请假;财务,盛宣怀致黄锡赓函,1910-1914
黄锡赓,中外合资;刘康遐;工程;李寿铨;李维格;汉冶萍公司;矿务;翻译;赖伦,盛宣怀致黄锡赓函,1910-1914
黄锡赓,人事;李寿铨;汉冶萍公司;煤;矿务;赖伦,盛宣怀致黄锡赓函,1910-1914
李寿铨,学堂;抚恤;死亡;汉冶萍公司;赖倫,盛宣怀致李寿铨函,1910-1914
李寿铨,仇达甫;储蓄;工匠;林志熙;汉冶萍公司;矿务;程炳堃;董事会;薪俸;赖倫;黄锡赓,盛宣怀致李寿铨函,1910-1914
包希蔺,卢洪昶;林志熙;汉冶萍公司;财务;钦其宝;陈理卿,盛宣怀致包希蔺函,1910-1914
戚楊,何其坦;国税厅;契约;广仁堂;李烈钧;汉冶萍公司;矿务;股東联合会;股票;董事会;财务;陳理卿,盛宣怀致戚楊函,1910-1914
戚揚,契约;孙宝琛;开平煤矿;汉冶萍公司;矿务;萍乡煤矿;货币,盛宣怀致戚揚函,1910-1914
王纯,事件;地图;戚楊;汉冶萍公司,盛宣怀致王纯函,1910-1914
何肖雅,巡按使;汉冶萍公司;股票;董事;财政厅,盛宣怀致何肖雅函,1910-1914
李寿铨,何其坦;汉冶萍公司;电报;矿务;股票;董事会,盛宣怀致李寿铨函,1910-1914
李寿銓,土地买卖;外交部;工程师;戚楊;汉冶萍公司;百炼公司;農商部,盛宣怀致李寿銓函,1910-1914
屠鹤清,会见;刘康遐;汉冶萍公司;经费;黄锡赓,盛宣怀致屠鹤清函,1910-1914
屠鹤清,汉冶萍公司;清册;股東;财务,盛宣怀致屠鹤清函,1910-1914
李寿銓,人事;工程;汉冶萍公司;物料;经费;董事会;财务;赖倫;采办;预算;黄錫赓,盛宣怀致李寿銓函,1910-1914
周翼雲,人事;吴文贵;張世祁;張继祖;汉冶萍公司;礼仪,盛宣怀致周翼雲函[周万鹏],1910-1914
黄锡赓,人事;卢成章;学生;汉冶萍公司;程中石;荐举,盛宣怀致黄锡赓函,1910-1914
王勲,三井洋行;上海;人事;汉冶萍公司;财务;那伊奇;高木陆郎,盛宣怀致王勲函,1910-1914
三井洋行,冶炼;机器;汉冶萍公司;汉阳铁厂;财务;那伊奇;采办,盛宣怀致三井洋行函,1910-1914
王勲,冶炼;大冶铁矿;汉冶萍公司;煤;物料;那伊奇;采掘,盛宣怀致王勲函,1910-1914
王勲,信函;冶炼;汉冶萍公司;那伊奇;高木陆郎,盛宣怀致王勲函,1910-1914
李维格,上海;中村雄次郎;会见;借贷;债务;外币;杨学沂;汉冶萍公司;炼钢炉;股票;西泽公雄;财务;采办;预算,盛宣怀致李维格函,1910-1914
王勲,中国通商银行;吕合堂;土地买卖;汉冶萍公司;财务,盛宣怀致王勲函,1910-1914
李维格,卢洪昶;吕合堂;房屋;杨子公司;枪;砲;股票;预算,盛宣怀致李维格函稿,1910-1914
严国钓,何其坦;林志熙;汉冶萍公司;煤;财务,盛宣怀致严国钓函,1910-1914
？云渊,华盛纱厂;杨州银行;汉冶萍公司;苏州银行;财务,盛宣怀致？云渊函,1910-1914
？,严国均;严绶颊;李培桢;水脚;汉冶萍公司;煤;疾病;财务;运输,盛宣怀致？函,1910-1914
严國钧;李培桢,汉冶萍公司;煤;财务;钦其宝,盛宣怀致李培桢、严國钧函,1910-1914
钦其宝,严国钧;李培桢;汉冶萍公司;煤;财务,盛宣怀致钦其宝函,1910-1914
李培桢,严国钧;救灾;汉冶萍公司;煤;财务;赈济;销售,盛宣怀致李培桢函,1910-1914
,丰裕银行;资产;顾闰章,盛宣怀处理李培桢资产便函,1910-1914
严国钧,汉冶萍公司;物价;财务;销售,盛宣怀致严国钧函,1910-1914
严國钧;李培桢,何其垣;林志熙;汉冶萍公司;煤;财务;销售,盛宣怀致李培桢、严國钧函,1910-1914
严國钧,李培桢;林志熙;汉冶萍公司;煤;财务;运输,盛宣怀致严國钧函,1910-1914
吴健,公务;汉冶萍公司;风俗礼仪,盛宣怀致吴健函,1910-1914
日本制铁所;横滨正金银行,借贷;合同;横滨正金银行;汉冶萍公司,盛宣怀致日本制铁所、横滨正金银行函,1910-1914
横滨正金银行,三井洋行;借贷;契约;横滨正金银行;汉冶萍公司;物价;铁;销售,盛宣怀致横滨正金银行函,1910-1914
高木陆郎,代表;商务;杂支费用;汉冶萍公司,盛宣怀致高木陆郎函,1910-1914
李维格,公务;卢洪昶;李寿铨;汉冶萍公司;设备,盛宣怀致李维格函,1910-1914
李维格,事件;借贷;工匠;汉冶萍公司;赖倫;赵兴昌;高木陆郎,盛宣怀致李维格函,1910-1914
李维格,借贷;汉冶萍公司;矿务;譚延闓;财政部;高木陆郎,盛宣怀致李维格函,1910-1914
李维格,借贷;储蓄;利息;汉冶萍公司;矿务,盛宣怀致李维格函,1910-1914
金忠讚,汉冶萍公司;财务;陳其瑢;陳廷绪,盛宣怀致金忠讚函,1910-1914
李维格,借贷;债务;合同;抵押;横滨正金银行;股东大会;船只;赖倫;轮船招商局;预算,盛宣怀致李维格函,1910-1914
楊学沂,会见;抵押;汉冶萍公司;江西;矿务;股票;财务,盛宣怀致楊学沂函,1910-1914
李维格,汉冶萍公司;王勳;矿务;税务,盛宣怀致李维格函,1910-1914
李维格,会议;工商部;矿务;财务;高木陆郎,盛宣怀致李维格函,1910-1914
于焌年,会议;借贷;利息;李维格;横滨正金银行;汉冶萍公司;财务;高木陆郎,盛宣怀致于焌年函,1910-1914
于焌年,汉冶萍公司;股票,盛宣怀致于焌年函,1910-1914
李寿銓,事件;人事;斯列德;李维格;汉冶萍公司;薪俸;赖倫,盛宣怀致李寿銓函,1910-1914
李维格,会议;施肇曾;汉冶萍公司;疾病,盛宣怀致李维格函,1910-1914
李维格,会议;合同;汉冶萍公司;财务;预算;高木陆郎,盛宣怀致李维格函,1910-1914
李维格;王勳,合同;汉冶萍公司;煤;船只;财务;运输;香港东裕公司,盛宣怀致李维格、王勳函,1910-1914
孙宝琦等,冶炼;汉冶萍公司;船只;采办;钢;铁,盛宣怀致孙宝琦等函,1910-1914
李维格,借贷;债卷;公务;军械;利息;工商部;横滨正金银行;汉冶萍公司;矿产;财务;财政部;采办,盛宣怀致李维格函,1910-1914
李全銓,三井洋行;军械;卢洪昶;机器;李维格;汉冶萍公司;汪瑞闓;煤;疾病;矿务;财务;运输;预算,盛宣怀致李全銓函,1910-1914
楊？,利息;抵押;横滨正金银行;汉冶萍公司;财务,盛宣怀致楊？函,1910-1914
李维格,李金銓;汉冶萍公司;煤;矿务;譚延闓;赖倫;高木陆郎,盛宣怀致李维格函,1910-1914
于焌年;李维格;王勳,修建;汉冶萍公司;清册;翻译;财务;销售,盛宣怀致李维格、王勳、于焌年函,1910-1914
汉冶萍公司董事经理,医疗;孙德全;汉冶萍公司;董事会;财务;陆君畧,盛宣怀致汉冶萍公司董事经理函,1910-1914
陆君略,丁立中;医疗;李雲衢;汉冶萍公司;电报;疾病;轮船,盛宣怀致陆君略函,1910-1914
李维格,于焌年;会见;借贷;利息;汉冶萍公司;王勳,盛宣怀致李维格函,1910-1914
李维格,卢洪昶;汉冶萍公司;煤;矿务;董事会;销售;高木陆郎,盛宣怀致李维格函,1910-1914
汉冶萍公司董事会,卢洪昶;李维格;汉冶萍公司;财务;销售,盛宣怀致汉冶萍公司董事会函,1910-1914
汪瑞闓等,勘察;汉冶萍公司;江西;煤;矿务;萍乡煤矿;采掘,盛宣怀致汪瑞闓等函,1910-1914
李维格,借款;利息;合同;汉冶萍公司;股票;金融,盛宣怀致李维格函,1910-1914
卢洪昶,合同;房地产;汉冶萍公司;王勳;码头;船只;财务;采办;销售,盛宣怀致卢洪昶函,1910-1914
孙德全,会见;孙武;汉冶萍公司;矿务;租借;股东;预算,盛宣怀致孙德全函,1910-1914
于焌年;李维格;王勳,汉冶萍公司;煤;财务;运输;销售,盛宣怀致李维格、于焌年、王勳函,1910-1914
李维格,李烈钓;汉冶萍公司;汪瑞闓;矿务,盛宣怀致李维格函,1910-1914
李维格,人事;会见;公务;夏件玉;孙德全;工商部;楊学沂;汉冶萍公司,盛宣怀致李维格函,1910-1914
李维格,勘察;土地买卖;大冶县;徐增祚;汉冶萍公司;矿务;赖倫;铁矿;黄锡赓,盛宣怀致李维格函,1910-1914
黄锡赓,勘察;土地买卖;大冶县;徐增祚;李维格;汉冶萍公司;赖倫;铁矿,盛宣怀致黄锡赓函,1910-1914
徐增祚,勘察;大冶县;契约;李维格;汉冶萍公司;矿务;赖倫;铁;铁矿;黄锡赓,盛宣怀致徐增祚函,1910-1914
李维格,会见;借贷;利息;华俄道胜银行;卢洪昶;夏敬业;李寿銓;楊旭峯;汇票;汉冶萍公司;煤矿;薪俸;藤濑政次郎;西泽公雄;赖倫;魏克威,盛宣怀致李维格函,1910-1914
汉冶萍股东联合会,借贷;汉冶萍公司;熊希龄;股东;股票;董事会;财务,盛宣怀致汉冶萍股东联合会函,1910-1914
王存善,孙武;楊学沂;汉冶萍公司;租借;股票;销售,盛宣怀致王存善函,1910-1914
李维格,信函;工厂;李寿銓;汉冶萍公司;经理;运输,盛宣怀致李维格函,1910-1914
李维格,三井洋行;储蓄;合同;汉冶萍公司;租借;财政部;铁;高木陆郎,盛宣怀致李维格函,1910-1914
李维格,地图;张轶欧;汉冶萍公司;财务;铁矿;锰矿,盛宣怀致李维格函,1910-1914
徐元荧,化验;契约;水脚;汉冶萍公司;矿务;砖厂;船只;运输;铁,盛宣怀致徐元荧函,1910-1914
李维格,兴业银行;合同;日本制铁所;汉冶萍公司;物价;高木陆郎,盛宣怀致李维格函,1910-1914
黄錫赓,勘察;汉冶萍公司;矿务;运输;铁矿,盛宣怀致黄錫赓函,1910-1914
李维格,会见;地契;孙德全;林炳章;汉冶萍公司;矿务;财务;黄锡赓,盛宣怀致李维格函,1910-1914
徐增祚,契约;武昌县;汉冶萍公司;矿务;西泽公雄;铁矿;黄锡赓,盛宣怀致徐增祚函,1910-1914
陳作霖,汉冶萍公司;江西;股东;股权;股票;萍洙铁路;运输,盛宣怀致陳作霖函,1910-1914
李维格,于焌年;人事;借贷;合同;李震東;王勳,盛宣怀致李维格函,1910-1914
王存善等,丁立中;会议;公务;冶炼;汉冶萍公司;矿务;股东联合会;采掘,盛宣怀致王存善等函,1910-1914
高木陆郎,借贷;利息;外币;汉冶萍公司;物价;财务;钢轨;铁;银行,盛宣怀致高木陆郎函,1910-1914
高木陆郎,三井洋行;借贷;外币;山东条太郎;抵押;汉冶萍公司;股东;藤濑政次郎;财务;集成公司,盛宣怀致高木陆郎函,1910-1914
汉冶萍公司董事会,合同;汉冶萍公司;酬劳;高木陆郎,盛宣怀致汉冶萍公司董事会函,1910-1914
高木陆郎,借贷;债卷;兴业银行;台湾银行;合同;横滨正金银行;汉冶萍公司;矿务;财务;预算,盛宣怀致高木陆郎函,1910-1914
赵凤昌,医疗;張之洞;李维格;汉冶萍公司,盛宣怀致赵凤昌函,1910-1914
王勳,借贷;六合公司;合同;抵押;汉冶萍公司;股票;还贷;金忠讚;钦其宝;销售;顾润章;首善堂,盛宣怀致王勳函,1910-1914
李维格,借贷;六合公司;汉冶萍公司;王勳;销售;顾润章;首善堂,盛宣怀致李维格函,1910-1914
李维格,合同;汉冶萍公司;王庭珠;董事;财务;酬劳;顾润章,盛宣怀致李维格函,1910-1914
李维格,合同;土地买卖;地契;楊廷杲;汉冶萍公司;王庭珠;薪俸;财务;销售,盛宣怀致李维格函,1910-1914
李维格,借贷;债券;工商部;抵押;汉冶萍公司;股东;顾润章,盛宣怀致李维格函,1910-1914
李维格,借贷;债券;医疗;合同;开工;汉冶萍公司;钢轨,盛宣怀致李维格函,1910-1914
李维格,借贷;债务;汉冶萍公司;矿务;轮船招商局,盛宣怀致李维格函,1910-1914
汉冶萍公司董事;经理,信函;合同;汉冶萍公司;清单,盛宣怀致汉冶萍公司董事、经理函,1910-1914
汉冶萍总公司,汉冶萍公司;清单;财务,盛宣怀致汉冶萍总公司函,1910-1914
李维格,中村雄次郎;井上準之助：小田切万寿之助;借贷;六合公司;司法;合同;契约;山本条太郎;日本制铁所;横滨正金银行;汉冶萍公司;董事会;高木陆郎,盛宣怀致李维格函,1910-1914
李维格,合同;地契;抵押;横滨正金银行;汉冶萍公司,盛宣怀致李维格函,1910-1914
汉冶萍公司董事会,合同;土地买卖;地契;抵押;李梅生;李维格;汉冶萍公司;王庭珠;码头;财务;铁路;顾润章,盛宣怀致汉冶萍公司董事会函,1910-1914
叶景葵,借贷;债券;南京;工厂;开工;汉冶萍公司,盛宣怀再致叶景葵函,1910-1914
叶景葵,借贷;工厂;汉冶萍公司;股东;财务,盛宣怀致叶景葵函,1910-1914
楊学沂,大冶铁矿;汉冶萍公司;矿图,盛宣怀致楊学沂函,1910-1914
汉冶萍公司董事会办事处,农工商;合同;大冶铁矿;执照;日本;汉冶萍公司,盛宣怀致汉冶萍公司董事会办事处函,1910-1914
李维格;林志熙;楊学沂,契约;汉冶萍公司;清册;矿务;财务,盛宣怀致李维格、楊学沂、林志熙函,1910-1914
楊学沂,大冶铁矿;汉冶萍公司;矿图,盛宣怀致楊学沂函,1910-1914
李维格;林志熙;楊学沂,汉冶萍公司;清单;矿务;赖倫,盛宣怀致李维格、楊学沂、林志熙函,1910-1914
李维格;林志熙;楊学沂,合同;土地买卖;汉冶萍公司;码头;粤汉铁路;董事会;轮船;销售,盛宣怀致李维格、楊学沂、林志熙函,1910-1914
李维格,三井洋行;中国通商银行;中村雄次郎;借贷;华俄道胜银行;横滨正金银行;汉冶萍公司;船只;董事会;财务;高木陆郎,盛宣怀致李维格函,1910-1914
李维格,借贷;土地买卖;张之洞;汉冶萍公司;矿务;铁路;销售;高木陆郎,盛宣怀致李维格函,1910-1914
李维格,京汉铁路;借贷;合同;抵押;横滨正金银行;汉冶萍公司;租界;财务;轮船;销售;高木陆郎,盛宣怀再致李维格函,1910-1914
李维格,中国通商银行;借贷;地契;李寿銓;楊子公司;汉冶萍公司;王勳;王存善;租界;钢铁厂,盛宣怀致李维格函,1910-1914
王勳,伊文士洋行;李维格;汉冶萍公司;王光;酬劳,盛宣怀致王勳函,1910-1914
高木陆郎,井上準之助;借贷;债务;刘揆一;推授;李维格;梁士诒;汉冶萍公司;熊希龄;瑞琨;董事会;预算,盛宣怀致高木陆郎函,1910-1914
高木陆郎,井上準之助;借贷;儿玉谦次;李维格;横滨正金银行;汉冶萍公司;船只;董事会;运输;铁;预算,盛宣怀致高木陆郎函,1910-1914
高木陆郎,会见;借贷;儿玉谦次;军械;华俄道胜银行;李烈钧;李维格;横滨正金银行;财务;财政部,盛宣怀致高木陆郎函,1910-1914
高木陆郎,利息;恩惠斋;横滨正金银行;汉冶萍公司;财务,盛宣怀致高木陆郎函,1910-1914
高木陆郎,井上準之助;儿玉谦次;利息;实相寺贞彦;恩惠斋;日本;横滨正金银行;汉冶萍公司;财务;赵兴昌,盛宣怀致高木陆郎函,1910-1914
村上,三井洋行;儿玉谦次;横滨正金银行;汉冶萍公司;财务;高木陆郎,盛宣怀致村上函,1910-1914
高木陆郎,借贷;债券;合同;横滨正金银行;汉冶萍公司;物价;矿产;股东大会;设备;财务;钢轨;铁;预算,盛宣怀致高木陆郎函,1910-1914
高木陆郎,三井洋行;借贷;合同;汉冶萍公司;煤;财务;财政部;运输;预算;黎元洪,盛宣怀致高木陆郎函,1910-1914
高木陆郎,三井洋行;中村雄次郎;借贷;债务;六合公司;合同;山本条太郎;工程;工程师;抵押;李维格;横滨正金银行;汉冶萍公司;股票;董事会;藤濑政次郎;财务;预算,盛宣怀致高木陆郎函,1910-1914
高木陆郎,上海;借贷;日本;汉冶萍公司;股东常会;董事会,盛宣怀致高木陆郎函,1910-1914
高木陆郎,中村雄次郎;外币;日本制铁所;汉冶萍公司;税务;财务;铁,盛宣怀致高木陆郎函,1910-1914
高木陆郎,中村雄次郎;井上準之助;借贷;儿玉谦次;李维格;汉冶萍公司;经费;董事会;财务,盛宣怀致高木陆郎函,1910-1914
高木陆郎,上海;井上準之助;会见;会议;借贷;合同;日本制铁所;汉冶萍公司;股东;还贷;预算,盛宣怀致高木陆郎函,1910-1914
高木陆郎,汉冶萍公司;盛宣怀;规划,盛宣怀致高木陆郎函,1910-1914
高木陆郎,儿玉谦次;孙宝琦;横滨正金银行;汉冶萍公司;董事会;财务;邮递,盛宣怀致高木陆郎函,1910-1914
包希蔺,信函;借贷;公务;汉冶萍公司,盛宣怀致包希蔺函,1910-1914
曾述棨,实业;汉冶萍公司;袁世凯;财务,盛宣怀致曾述棨函,1910-1914
汉冶萍董事諸公,于凌年;孙德全;曾述棨;楊学沂;汉冶萍公司;王勳;王治昌;调查;财务;预算,盛宣怀致汉冶萍董事諸公函,1910-1914
孙德全等;楊学沂,于焌年;商务;曾述棨;汉冶萍公司;王勳;王治昌;调查;财务;陈廷绪;预算,盛宣怀致楊学沂、孙德全等函,1910-1914
